Function/Command/Formula/Script/Action/Verb/Alias/Procedure/Algorithm Name,Inputs,Outputs,Code/Alias,ID/Reference,Priority,Sample Inputs,Sample Outputs,Use/Purpose,Namespace,Field of Science,Average Time to Execute,Last Time to Execute,Details,Version,Date Modified
HandleNameCollision/AutoDetermineFunctionName,,,AutoDetermineFunctionName,,,,,This function handles aliases which are dialethia.,Starcel Primitives,ComputerScience,,,True contradictions occur when two functions share the same name and are equally valid. No particular function can take precedence. ,,
StarcelStart,,,,,,,,,Starcel Primitives,,,,,,
Undefined,,,,,,,,,Starcel Primitives,,,,Send to Recursion servers for analysis,,
Universe,,,,,,,,,Starcel Primitives,,,,,,
Sun,,,,,,,,,Starcel Primitives,,,,,,
Skylight/Sun,,,Sun,,,,,,Starcel Primitives,,,,,,
Earth,,,,,,,,,Starcel Primitives,,,,,,
TestChrome,,,,,,,,,Starcel Tests,,,,,,
TestPlatform,,,,,,,,,Starcel Tests,,,,,,
CallSystemProcess/SystemProcess/CMD,,,SystemProcess,,,,,,Starcel Primitives,,,,,,
ProgrammingLanguage/Piston/Lang,,,Lang,,,,,,Starcel Primitives,,,,,,
Web,,,,,,,,,Starcel Primitives,,,,,,
Human,,,,,,,,,Starcel Primitives,,,,,,
Scene/GLTF/USDZ/USD/USDA/USDC,,,Scene,,,,,,Starcel Primitives,,,,,,
Info,,,,,,,,,Starcel Primitives,,,,,,
WindowCapture/Window,,,Window,,,,,,Starcel Primitives,,,,,,
NDI,,,,,,,,,Starcel Primitives,,,,,,
GetDesktopFiles/GetDesktopApps/DesktopApps,,,,,,,,,Starcel Primitives,,,,,,
Audio/Sound,,,,,,,,,Starcel Primitives,,,,,,
Image,,,,,,,,,Starcel Primitives,,,,,,
Object,,,,,,,,,Starcel Primitives,,,,,,
SiliconKG,,,,,,,,,Starcel Tests,,,,,,
RaymarchVolume/Raymarch,,,Raymarch,,,,,,Starcel Tests,,,,,,
Deathtimer,,,,,,,,,Starcel Primitives,,,,,,
Basis,,,,,,,,,Starcel Primitives,,,,,,
Array,,,,,,,,,Starcel Primitives,,,,,,
Julia,,,,,,,,,Starcel Server Primitives,,,,,,
Python/PyPy,,,Python,,,,,,Starcel Server Primitives,,,,,,
FZF/FuzzySearch,,,FZF,,,,,,Starcel CLI Primitives,,,,,,
FFMPEG,,,,,,,,,Starcel CLI Primitives,,,,,,
ES/EverythingSearch,,,ES,,,,,,Starcel CLI Primitives,,,,,,
